CHEMICAL,SRS ID
Nickel,149674.0
Certain glycol ethers,649541.0
Lead,149583.0
Lead  And Lead Compounds,650002.0
Manganese,149625.0
Certain glycol ethers,649541.0
Manganese,149625.0
Lead compounds,650002.0
Polycyclic aromatic compounds,649749.0
Lead,149583.0
Chromium,150060.0
Certain glycol ethers,649541.0
Nitric acid,152686.0
"1,2,4-Trimethylbenzene",16261.0
Nickel,149674.0
Chromium,150060.0
Ethylbenzene,19406.0
Diisocyanates,649715.0
Chromium,150060.0
Toluene,25452.0
Lead,149583.0
Lead compounds,650002.0
Nickel,149674.0
Naphthalene,13326.0
Zinc compounds,649699.0
Naphthalene,13326.0
Xylene (mixed isomers),84970.0
Lead,149583.0
Nitric acid,152686.0
Lead compounds,650002.0
Lead  And Lead Compounds,650002.0
Manganese,149625.0
Ethylene glycol,24257.0
Lead,149583.0
n-Hexane,26740.0
"Benzo[g,h,i]perylene",40576.0
Diisocyanates,649715.0
Ethylbenzene,19406.0
Zinc compounds,649699.0
Nitrate compounds (water dissociable; reportable only when in aqueous solution),649616.0
Lead,149583.0
Manganese compounds,650010.0
Zinc compounds,649699.0
Styrene,19414.0
Zinc compounds,649699.0
Ammonia,152389.0
Certain glycol ethers,649541.0
Chromium,150060.0
Zinc compounds,649699.0
Copper,150086.0
Nitric acid,152686.0
Nitric acid,152686.0
Xylene (mixed isomers),84970.0
Chromium,150060.0
Nickel,149674.0
Toluene,25452.0
Toluene,25452.0
Lead compounds,650002.0
Nitrate compounds (water dissociable; reportable only when in aqueous solution),649616.0
Xylene (mixed isomers),84970.0
Naphthalene,13326.0
Xylene (mixed isomers),84970.0
Lead,149583.0
Lead,149583.0
Manganese,149625.0
Chromium,150060.0
Lead,149583.0
Lead compounds,650002.0
Lead,149583.0
Copper,150086.0
Copper,150086.0
Nickel,149674.0
Methanol,4283.0
"Benzo[g,h,i]perylene",40576.0
Ammonia,152389.0
Nickel,149674.0
Toluene,25452.0
Polycyclic aromatic compounds,649749.0
Lead,149583.0
Chromium,150060.0
"1,2,4-Trimethylbenzene",16261.0
