CHEMICAL,SRS ID
Nickel,149674.0
Certain glycol ethers,649541.0
Ethylene,5090.0
Lead,149583.0
Ethylene oxide,5405.0
Formaldehyde,1008.0
Dichloromethane,5306.0
Cobalt,150078.0
Diethanolamine,27516.0
Lead  And Lead Compounds,650002.0
Manganese,149625.0
Certain glycol ethers,649541.0
Manganese,149625.0
Lead compounds,650002.0
Polycyclic aromatic compounds,649749.0
Lead,149583.0
Chromium,150060.0
Certain glycol ethers,649541.0
Nitric acid,152686.0
Manganese  And Manganese Compounds,650010.0
"1,2,4-Trimethylbenzene",16261.0
Nickel,149674.0
Chromium,150060.0
Antimony compounds,649921.0
Methyl methacrylate,8458.0
Ethylbenzene,19406.0
Diisocyanates,649715.0
Chromium,150060.0
Vinyl acetate,24828.0
Safrole,15537.0
Methyl isobutyl ketone,24851.0
Toluene,25452.0
Lead,149583.0
Lead compounds,650002.0
Nonylphenol Ethoxylates,1978074.0
"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",152231.0
"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",152231.0
Molybdenum trioxide,82800.0
Nickel,149674.0
Nonylphenol Ethoxylates,1978074.0
Chromium compounds (except for chromite ore mined in the Transvaal Region),649475.0
Naphthalene,13326.0
Acrylamide,7575.0
Zinc compounds,649699.0
Naphthalene,13326.0
Sodium nitrite,152058.0
Xylene (mixed isomers),84970.0
"N,N-Dimethylformamide",4416.0
Lead,149583.0
Cobalt compounds,649970.0
Nitric acid,152686.0
Lead compounds,650002.0
Methyl tert-butyl ether,89870.0
Lead  And Lead Compounds,650002.0
Manganese,149625.0
N-Methylolacrylamide,73718.0
Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region),649475.0
Ethylene glycol,24257.0
Cyclohexane,27003.0
Lead,149583.0
n-Hexane,26740.0
"Benzo[g,h,i]perylene",40576.0
Chlorine,154328.0
Diisocyanates,649715.0
Ethylbenzene,19406.0
Zinc compounds,649699.0
Acetonitrile,5272.0
