"document_number","tribal_land"
"1321220090753","Puyallup Tribe of the Puyallup Reservation"
"1321220494138","Kiowa Indian Tribe of Oklahoma"
"1321220083529","The Chickasaw Nation"
"1321220083683","The Chickasaw Nation"
"1321220165676","Navajo Nation, Arizona, New Mexico, & Utah"
"1321219655697","The Muscogee (Creek) Nation"
"1321220028017","Gila River Indian Community of the Gila River Indian Reservation, Arizona"
"1321219605007","Gila River Indian Community of the Gila River Indian Reservation, Arizona"
"1321220083606","The Chickasaw Nation"
"1321219905179","Gila River Indian Community of the Gila River Indian Reservation, Arizona"
"1321220017584","Absentee-Shawnee Tribe of Indians of Oklahoma"
"1321219823186","The Muscogee (Creek) Nation"
"1321220270300","The Choctaw Nation of Oklahoma"
"1321220525075","Confederated Tribes and Bands of the Yakama Nation"
"1321220149912","The Choctaw Nation of Oklahoma"
"1321220083707","The Chickasaw Nation"
"1321220149862","The Choctaw Nation of Oklahoma"
"1321220045900","Puyallup Tribe of the Puyallup Reservation"
"1321220149886","The Choctaw Nation of Oklahoma"
"1321220601140","Puyallup Tribe of the Puyallup Reservation"
"1321220001186","The Chickasaw Nation"
"1321220471433","The Chickasaw Nation"
"1321220000335","The Chickasaw Nation"
"1321219655774","The Muscogee (Creek) Nation"
"1321219589088","Cherokee Nation"
"1321220165664","Navajo Nation, Arizona, New Mexico, & Utah"
"1321220348318","Puyallup Tribe of the Puyallup Reservation"
"1321220090688","Puyallup Tribe of the Puyallup Reservation"
"1321219918455","Oneida Nation"
"1321219589987","The Muscogee (Creek) Nation"
"1321220176770","Oneida Nation"
"1321219655673","The Muscogee (Creek) Nation"
"1321220090803","Puyallup Tribe of the Puyallup Reservation"
"1321220090791","Puyallup Tribe of the Puyallup Reservation"
"1321219603646","Saginaw Chippewa Indian Tribe of Michigan"
"1321219884044","Ute Indian Tribe of the Uintah & Ouray Reservation, Utah"
"1321220083467","The Chickasaw Nation"
"1321219653452","The Muscogee (Creek) Nation"
"1321220083657","The Chickasaw Nation"
"1321219455021","Cheyenne and Arapaho Tribes, Oklahoma"
"1321220348320","Puyallup Tribe of the Puyallup Reservation"
"1321219918719","Oneida Nation"
"1321219863519","Cherokee Nation"
"1321219905383","Puyallup Tribe of the Puyallup Reservation"
"1321219884032","Ute Indian Tribe of the Uintah & Ouray Reservation, Utah"
"1321220601443","Puyallup Tribe of the Puyallup Reservation"
"1321220000347","The Chickasaw Nation"
"1321219803564","Confederated Tribes and Bands of the Yakama Nation"
"1321220078671","The Choctaw Nation of Oklahoma"
"1321219603495","Saginaw Chippewa Indian Tribe of Michigan"
"1321220176768","Oneida Nation"
"1321219863533","Cherokee Nation"
"1321219589999","The Muscogee (Creek) Nation"
"1321219930031","The Chickasaw Nation"
"1321219589090","Cherokee Nation"
"1321220494114","Kiowa Indian Tribe of Oklahoma"
"1321220149898","The Choctaw Nation of Oklahoma"
"1321219954827","Eastern Band of Cherokee Indians"
"1321220471419","The Chickasaw Nation"
"1321219886417","Ute Indian Tribe of the Uintah & Ouray Reservation, Utah"
"1321220017747","Cheyenne and Arapaho Tribes, Oklahoma"
"1321220494328","Kiowa Indian Tribe of Oklahoma"
"1321219949854","Salt River Pima-Maricopa Indian Community of the Salt River Reservation, Arizona"
"1321219669278","Oneida Nation"
"1321221468667","Puyallup Tribe of the Puyallup Reservation"
"1321220165702","Navajo Nation, Arizona, New Mexico, & Utah"
"1321219623194","Salt River Pima-Maricopa Indian Community of the Salt River Reservation, Arizona"
"1321219455019","Cheyenne and Arapaho Tribes, Oklahoma"
"1321219454966","Cheyenne and Arapaho Tribes, Oklahoma"
"1321219884020","Ute Indian Tribe of the Uintah & Ouray Reservation, Utah"
"1321221468869","Puyallup Tribe of the Puyallup Reservation"
"1321220083721","The Chickasaw Nation"
"1321220601470","Puyallup Tribe of the Puyallup Reservation"
"1321220471371","The Chickasaw Nation"
"1321219454992","Cheyenne and Arapaho Tribes, Oklahoma"
"1321220214567","Puyallup Tribe of the Puyallup Reservation"
"1321219863545","Cherokee Nation"
"1321219603622","Saginaw Chippewa Indian Tribe of Michigan"
"1321220090789","Puyallup Tribe of the Puyallup Reservation"
"1321220352520","Fort Sill Apache Tribe of Oklahoma"
"1321220136079","Coeur D'Alene Tribe"
"1321220001162","The Chickasaw Nation"
"1321220090676","Puyallup Tribe of the Puyallup Reservation"
"1321220000463","The Chickasaw Nation"
"1321220040721","The Choctaw Nation of Oklahoma"
"1321220601417","Puyallup Tribe of the Puyallup Reservation"
"1321220083517","The Chickasaw Nation"
"1321219608977","Oneida Nation"
"1321219949928","Gila River Indian Community of the Gila River Indian Reservation, Arizona"
"1321220470672","The Chickasaw Nation"
"1321220001198","The Chickasaw Nation"
"1321221468679","Puyallup Tribe of the Puyallup Reservation"
"1321220018764","The Chickasaw Nation"
"1321220090777","Puyallup Tribe of the Puyallup Reservation"
"1321220553073","Cherokee Nation"
"1321220553109","Cherokee Nation"
"1321220078669","The Choctaw Nation of Oklahoma"
"1321220494316","Kiowa Indian Tribe of Oklahoma"
"1321220046419","Puyallup Tribe of the Puyallup Reservation"
"1321220601138","Puyallup Tribe of the Puyallup Reservation"
"1321220601520","Puyallup Tribe of the Puyallup Reservation"
"1321220165777","Navajo Nation, Arizona, New Mexico, & Utah"
"1321219608991","Oneida Nation"
"1321220136067","Coeur D'Alene Tribe"
"1321220136081","Coeur D'Alene Tribe"
"1321220471534","The Chickasaw Nation"
"1321220471458","The Chickasaw Nation"
"1321220470684","The Chickasaw Nation"
"1321219966189","The Muscogee (Creek) Nation"
"1321220090702","Puyallup Tribe of the Puyallup Reservation"
"1321219863521","Cherokee Nation"
"1321220083556","The Chickasaw Nation"
"1321220040442","The Choctaw Nation of Oklahoma"
"1321219998770","Ute Indian Tribe of the Uintah & Ouray Reservation, Utah"
"1321220083481","The Chickasaw Nation"
"1321220471546","The Chickasaw Nation"
"1321219905662","Fort McDowell Yavapai Nation, Arizona"
"1321220149874","The Choctaw Nation of Oklahoma"
"1321220090664","Puyallup Tribe of the Puyallup Reservation"
"1321220040733","The Choctaw Nation of Oklahoma"
"1321220176782","Oneida Nation"
"1321219454980","Cheyenne and Arapaho Tribes, Oklahoma"
"1321220028118","Gila River Indian Community of the Gila River Indian Reservation, Arizona"
"1321219623182","Salt River Pima-Maricopa Indian Community of the Salt River Reservation, Arizona"
"1321220083733","The Chickasaw Nation"
"1321220471484","The Chickasaw Nation"
"1321220083644","The Chickasaw Nation"
"1321219655798","The Muscogee (Creek) Nation"
"1321220347468","Gila River Indian Community of the Gila River Indian Reservation, Arizona"
"1321220601429","Puyallup Tribe of the Puyallup Reservation"
"1321219904570","Suquamish Indian Tribe of the Port Madison Reservation"
"1321220078531","The Choctaw Nation of Oklahoma"
"1321220165690","Navajo Nation, Arizona, New Mexico, & Utah"
"1321219603610","Saginaw Chippewa Indian Tribe of Michigan"
"1321220000475","The Chickasaw Nation"
"1321219655762","The Muscogee (Creek) Nation"
